Winner,title_fight,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_attempted_strikes,B_avg_BODY_landed_strikes,B_avg_CLINCH_attempted_strikes,B_avg_CLINCH_landed_strikes,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_attempted_strikes,B_avg_GROUND_landed_strikes,B_avg_HEAD_attempted_strikes,B_avg_HEAD_landed_strikes,B_avg_KD,B_avg_kicks_attempted,B_avg_kicks_landed,B_avg_guard_passed,B_avg_Reversals,B_avg_significant_strikes_attempted,B_avg_Significant_Strikes_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Sideways,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Blue,FALSE,3,1,0,0,5.428571429,4.142857143,12.28571429,9.142857143,37.85714286,11.71428571,5.142857143,3.285714286,45.57142857,17.42857143,0.285714286,4.285714286,2.571428571,0.285714286,0,55.28571429,24.14285714,0.454285714,0,2.428571429,1,0.241428571,65.14285714,32.42857143,2,5,14,488.7142857,0,0,0,0,2,0,0,2,182.88,187.96,185,1,0,0,9,4,18,12,139,56,0,0,100,27,0,48,37,0,0,157,68,0.43,0,0,0,0,168,77,0,1,3,692,0,0,0,0,0,0,0,0,190.5,200.66,185,28,28,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,2,0,21.875,13,14.875,10.25,96.75,44.75,10.25,6.375,75,29,0.375,25,19.375,1.25,0.25,121.875,61.375,0.53625,0.5,2.125,1.125,0.26,162.25,95.625,2,3,18,628.625,0,0,0,3,1,1,0,5,167.64,165.1,125,1,0,0,22.16666667,13.33333333,6.5,4.166666667,188.3333333,55.33333333,2.166666667,1.666666667,162.1666667,37.16666667,0.166666667,12.66666667,10.66666667,0,0,197,61.16666667,0.295,0.166666667,2.166666667,0,0,210.3333333,73.33333333,3,2,18,900,0,0,1,3,0,0,0,4,175.26,172.72,125,33,30,0,1,0,0,0,0,1,0,0
Blue,FALSE,5,1,0,0,9.272727273,6.181818182,6.818181818,5.272727273,57.18181818,25.90909091,2.636363636,2,53.36363636,23.27272727,0.454545455,4,3.727272727,0.454545455,0.181818182,66.63636364,33.18181818,0.507272727,0.363636364,1.272727273,0.363636364,0.096363636,71.45454545,37.63636364,3,4,27,625,1,0,0,1,5,1,0,7,193.04,193.04,205,1,0,0,11.93333333,6.6,7,3.933333333,94.46666667,33.06666667,9.666666667,7.2,92.2,32.26666667,0.6,7,5.333333333,1.133333333,0,111.1333333,44.2,0.384666667,0.333333333,3,1.2,0.303333333,129.4666667,60.6,6,5,38,660.8666667,3,0,0,3,5,2,0,10,195.58,200.66,205,30,32,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,3,0,10.33333333,8.333333333,6.666666667,4.666666667,68.33333333,26.33333333,38,29.33333333,86.66666667,40.66666667,0.666666667,16,11.33333333,1.333333333,0,113,60.33333333,0.566666667,0,1.666666667,1,0.25,181,123.6666667,3,0,7,681.6666667,0,0,0,2,1,0,0,3,193.04,198.12,205,3,0,0,9.454545455,7.272727273,11.27272727,9.454545455,36.09090909,16.18181818,0.818181818,0.454545455,29.63636364,10.72727273,0.272727273,9.090909091,8.090909091,0.090909091,0,48.18181818,26.09090909,0.537272727,0.181818182,1.454545455,0.272727273,0.090909091,53.27272727,30.54545455,3,5,21,455.7272727,0,0,0,1,3,0,2,6,185.42,200.66,205,27,39,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,1,0,2.5,1,5,2.5,45.5,13.5,3,1,46.5,13.5,0,4.5,2.5,2.5,0,53.5,17,0.345,1,6,3,0.5,57,19.5,1,1,3,310.5,0,0,0,0,0,1,0,1,172.72,172.72,145,0,1,0,1.6,0.8,0.2,0,19.8,7.6,13,8.8,31.2,15.4,0.2,0.2,0.2,3.2,0.8,33,16.4,0.456,1,5,2.4,0.5,43.4,24.8,3,1,11,561.8,0,0,1,1,1,1,0,4,177.8,182.88,145,26,30,0,1,0,0,0,0,0,1,0
Blue,FALSE,3,0,1,0,7,4.2,4.6,2.6,42.8,11,12.8,6.2,52.2,14.8,0,1,0.8,1,0.4,60.2,19.8,0.342,0.2,3,1.2,0.3,76,33.4,1,3,10,558.2,0,0,0,1,0,1,0,2,177.8,180.34,155,0,2,0,9,7.2,3.6,3.2,60,25.4,8.8,6.2,60.2,24.4,0.4,3.2,3.2,0.6,0,72.4,34.8,0.498,0.2,0.8,0.4,0.132,87,47.6,2,2,12,610.8,0,0,1,0,2,0,0,3,175.26,177.8,155,29,32,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,1,0,0,26,22.2,30.2,24.8,46.6,17.6,1.8,1.2,46.8,16.4,0,5.8,5,0,0,78.6,43.6,0.562,0.2,1.8,0.4,0.228,100.8,62.4,1,3,13,720.4,0,0,0,2,0,0,0,2,170.18,165.1,135,2,0,0,12,7.5,7,5,43.5,15.5,0,0,30.5,7.5,0,8,5.5,0,0,50.5,20.5,0.465,0,2.5,0.5,0.125,54.5,24.5,0,2,4,461,1,0,0,0,0,0,0,0,170.18,177.8,135,37,37,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,4,0,9.666666667,5.166666667,2,1,53.83333333,18.83333333,6.5,5.333333333,46.66666667,15,0.166666667,6,5,1.833333333,0,62.33333333,25.16666667,0.41,0.333333333,3.333333333,0.833333333,0.356666667,75.66666667,36.83333333,4,1,14,656.3333333,1,0,1,1,1,2,0,5,182.88,190.5,155,0,1,0,8,5.111111111,5.777777778,3.444444444,74.88888889,29.88888889,8.222222222,6.888888889,67.77777778,24.55555556,0.111111111,13.11111111,10.55555556,0.888888889,0,88.88888889,40.22222222,0.45,0.555555556,1,0.555555556,0.231111111,104.6666667,53.88888889,3,3,22,686.8888889,0,1,1,2,2,0,0,6,177.8,177.8,155,39,29,0,1,0,0,0,0,0,1,0
Blue,FALSE,3,2,0,0,21.66666667,17.66666667,13.33333333,10.33333333,177.3333333,84,2.333333333,0.666666667,170.3333333,76.33333333,0,1,1,1.333333333,0.666666667,193,95,0.47,0,3.333333333,1.333333333,0.4,231.6666667,131,1,2,8,727.6666667,0,0,1,0,0,0,0,1,177.8,185.42,170,2,0,0,10.42857143,5.571428571,2.857142857,1.142857143,98,32.71428571,0.285714286,0.285714286,85,24,0.285714286,5.714285714,4.571428571,0.714285714,0.142857143,101.1428571,34.14285714,0.317142857,0,2.142857143,0.714285714,0.151428571,114.4285714,46,3,3,19,807.8571429,0,0,0,4,0,0,0,4,167.64,167.64,155,30,35,0,1,0,0,0,0,0,1,0
Blue,FALSE,3,1,0,0,9.5,7.166666667,12.16666667,9,37.16666667,16.33333333,11.66666667,10.16666667,44.66666667,22.5,0.333333333,6.833333333,5.833333333,1.833333333,0,61,35.5,0.586666667,0.166666667,4.833333333,2.166666667,0.393333333,119.3333333,87.66666667,2,3,13,620.6666667,0,0,0,3,0,0,0,3,182.88,190.5,205,0,1,0,2,0,0,0,5,1,11,8,12,8,0,2,1,0,0,16,9,0.56,0,0,0,0,17,9,1,0,1,193,0,0,0,0,1,0,0,1,182.88,193.04,205,29,27,0,1,0,0,0,0,1,0,0
Red,FALSE,5,1,0,0,12.71428571,9.714285714,6.142857143,4.714285714,83.21428571,26,24.28571429,18.35714286,99.71428571,38.14285714,0,1.214285714,1.214285714,3.214285714,0.071428571,113.6428571,49.07142857,0.45,0.785714286,5.714285714,2.5,0.455,140.4285714,72.85714286,5,4,36,724.8571429,1,0,1,3,1,4,1,10,175.26,195.58,170,2,0,0,15.61538462,10.92307692,11.80769231,8.846153846,82.80769231,31.92307692,10.96153846,7.153846154,78.23076923,27.30769231,0.192307692,11.73076923,9.692307692,1.5,0.076923077,105.5769231,47.92307692,0.453076923,0.615384615,4.307692308,1.730769231,0.296538462,127.7692308,67.96153846,5,9,74,794.7692308,4,0,0,10,4,3,0,17,172.72,177.8,170,26,34,0,1,0,0,0,0,0,1,0
Blue,FALSE,3,0,1,0,10,10,21,14,59,30,15,11,74,38,1,11,7,1,0,95,55,0.57,2,7,1,0.14,133,90,1,0,3,900,0,0,0,1,0,0,0,1,180.34,182.88,185,0,4,0,6.666666667,4.666666667,3.666666667,2.666666667,37.22222222,13.77777778,9.444444444,6.555555556,40.22222222,15.22222222,0,3.444444444,3.111111111,2.555555556,0.111111111,50.33333333,23,0.434444444,0.666666667,6.111111111,2.777777778,0.483333333,74,42.66666667,4,3,21,634.2222222,1,0,0,2,0,4,0,6,187.96,200.66,185,30,29,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,2,0,13.18181818,10.59090909,13.22727273,8.863636364,62.04545455,25.54545455,11.95454545,9.5,66.13636364,26.86363636,0.090909091,7.909090909,6.454545455,2.454545455,0.045454545,87.22727273,43.90909091,0.525909091,1.090909091,8.727272727,3,0.315,126.5454545,80.40909091,4,8,59,754.9090909,0,0,2,7,3,2,0,14,172.72,172.72,155,0,4,0,8.608695652,5.739130435,6.652173913,4.782608696,29.43478261,12,5.347826087,3.782608696,28.13043478,11.13043478,0.086956522,4.695652174,3.695652174,1.347826087,0.130434783,41.43478261,20.56521739,0.483913043,1.260869565,3,1.304347826,0.477826087,52.7826087,31.04347826,4,9,42,400.5652174,0,0,0,1,0,13,0,14,177.8,187.96,155,34,29,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,2,0,18,11,4,3,172,52.5,18,10.5,168,47.5,0.5,8,7.5,2,0,194,66,0.335,0,4,2.5,0.625,221.5,88.5,2,0,6,900,0,0,0,2,0,0,0,2,162.56,170.18,135,0,2,0,8.5,7,10.5,7.5,18,4.5,38,26,58,31,0,0,0,1.5,0,66.5,38,0.555,0,0.5,0.5,0.5,84,52,2,0,3,329.5,0,0,0,0,2,0,0,2,167.64,167.64,135,34,24,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,1,0,5,2,12,5,75,28,41,24,115,48,0,8,7,5,0,128,57,0.44,1,11,6,0.54,166,86,1,0,3,900,0,0,0,1,0,0,0,1,177.8,182.88,145,0,2,0,17,8.5,4.5,4.5,76,38.5,5,3.5,47,17,0,21.5,21,1,0.5,85.5,46.5,0.55,1,1,0.5,0.25,110,70.5,2,0,6,900,1,0,2,0,0,0,0,2,180.34,180.34,155,25,27,0,0,0,0,1,0,1,0,0
Blue,FALSE,3,3,0,0,9.666666667,7.952380952,10.95238095,7.857142857,36.14285714,13.14285714,12.57142857,8.714285714,46.57142857,18.9047619,0.142857143,3.428571429,2.857142857,1.714285714,0.238095238,59.66666667,29.71428571,0.495238095,0.761904762,2.952380952,1.523809524,0.47,88.38095238,56.23809524,3,11,47,560.4761905,1,0,1,2,3,4,0,10,185.42,195.58,205,2,0,0,5.583333333,4.25,9.666666667,6.75,47.83333333,17.16666667,21.5,15.75,69.66666667,32.33333333,0,3.75,3.083333333,1.666666667,0,79,39.66666667,0.495833333,0.083333333,6.916666667,2.833333333,0.3025,102.1666667,59.5,3,6,26,565.8333333,0,0,1,3,2,0,0,6,187.96,193.04,205,38,38,0,1,0,0,0,0,1,0,0
Red,FALSE,3,0,2,0,7,6,2.5,2.5,62,38,18.5,15,74.5,48,0.5,1.5,1.5,3,0,83,55.5,0.69,0,2.5,2.5,0.5,93,65.5,2,0,5,610.5,0,0,0,0,2,0,0,2,182.88,187.96,185,0,1,0,8.9,5.4,8.3,4.9,76.9,21.6,4,2.4,73.6,17.9,0.3,6.7,5.6,1,0.1,89.2,28.9,0.34,0.6,2,0.7,0.219,101.5,39.9,2,3,22,619.3,0,0,0,3,1,3,0,7,182.88,190.5,185,26,34,0,1,0,0,0,0,0,1,0
Red,FALSE,3,3,0,0,15.75,11.75,11.25,8,45,21,4.75,3.5,42.25,18.25,0,3,2.5,0.5,0,61,32.5,0.515,0.75,1,0.75,0.415,81.75,51.25,1,3,9,545,0,0,1,0,0,0,0,1,185.42,187.96,145,1,0,0,22.66666667,13.66666667,10,6,153,45.33333333,3,2,140.6666667,37.66666667,0,2.666666667,2,0.666666667,0,166,53.33333333,0.303333333,1,2,0.333333333,0.066666667,186.6666667,71,2,1,9,858.3333333,0,0,0,1,0,1,0,2,170.18,177.8,145,29,29,0,0,0,1,0,0,0,1,0
Blue,TRUE,5,0,3,0,24.28571429,18.28571429,26.64285714,16.28571429,97.57142857,43.5,17,13.07142857,112,50.07142857,0.142857143,4.928571429,4.5,2.428571429,0.071428571,141.2142857,72.85714286,0.549285714,0.357142857,4,2.357142857,0.524285714,173.5,101.7142857,3,4,33,663.8571429,1,0,1,5,2,2,0,10,154.94,157.48,115,0,3,0,12.25,8,7.625,4.5,94.125,34.125,12.375,9,97.625,36.375,0.25,4.25,3.25,2.5,0.125,114.125,47.625,0.4425,0.75,3.375,2,0.5575,125.375,56.375,3,2,23,768.5,3,0,0,2,1,3,0,6,165.1,165.1,115,27,26,0,1,0,0,0,0,1,0,0
Red,FALSE,3,1,0,0,8.652173913,6.956521739,6.217391304,5.217391304,41.73913043,22.13043478,7.913043478,6.173913043,37.91304348,18.7826087,0.782608696,9.304347826,7.782608696,0.130434783,0.043478261,55.86956522,33.52173913,0.64173913,0.260869565,0.173913043,0.130434783,0.130434783,65.34782609,41.91304348,16,6,58,651.2608696,13,0,0,3,11,3,0,17,187.96,195.58,185,0,1,0,4.375,3.125,7.875,6,50.5,22.125,5.125,4.25,54.5,25.25,0.25,4.625,4,0.375,0,63.5,32.375,0.49375,0,0.375,0.125,0.125,72.875,41,2,4,17,535.375,0,0,0,1,3,0,0,4,180.34,195.58,185,44,35,0,0,0,1,0,0,0,0,1
Blue,FALSE,3,0,6,0,11.83333333,8.833333333,14.83333333,10.5,68.5,36.5,36.16666667,25,93,51.16666667,0.666666667,14.66666667,12,2.333333333,0.166666667,119.5,72,0.596666667,0.5,6.5,2.666666667,0.456666667,130.5,81.5,6,0,15,712.8333333,0,0,0,3,3,0,0,6,167.64,180.34,145,0,2,0,11.30769231,7,3,2.307692308,117.1538462,47.15384615,7.923076923,4.846153846,108.7692308,40.61538462,0.307692308,8,6.692307692,0.923076923,0,128.0769231,54.30769231,0.432307692,0.230769231,1.384615385,0.923076923,0.183076923,137.6153846,63.07692308,7,3,45,975.3076923,11,0,0,6,4,0,0,10,170.18,177.8,145,30,32,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,1,0,29,15,5,3,270,94,0,0,235,71,0,11,11,0,0,275,97,0.35,0,0,0,0,277,99,1,0,3,900,0,0,0,1,0,0,0,1,185.42,180.34,170,0,1,0,7.48,5.68,8,4.84,82.48,32.04,8.52,4.52,73.04,21.4,0.52,18.48,14.32,0.92,0.08,99,41.4,0.4564,0.24,0.8,0.52,0.3196,114.4,54.84,7,10,61,669.56,1,0,1,5,7,1,1,15,175.26,177.8,170,26,35,0,1,0,0,0,0,1,0,0
Red,FALSE,3,2,0,0,15.875,10.125,11.875,8.375,100.25,42,0.625,0.375,82.375,29.75,0,14.5,10.875,0.25,0.25,112.75,50.75,0.46375,0,1.5,0.375,0.09375,134.75,70.625,3,4,21,702.375,1,0,2,1,1,0,0,4,165.1,162.56,135,0,2,0,15.25,9.5,11.5,7.5,200.25,82.25,7.25,5.5,177.75,67,0,26,18.75,1.5,0.75,219,95.25,0.4275,0,1,0.5,0.375,241.5,115.5,2,2,12,900,0,0,1,1,0,0,0,2,175.26,172.72,135,35,31,0,1,0,0,0,0,1,0,0
Blue,FALSE,3,0,1,0,8,8,6,5,68,23,23,18,88,38,0,1,0,5,1,97,46,0.47,1,0,0,0,101,50,1,0,3,900,0,0,0,1,0,0,0,1,195.58,200.66,205,0,1,0,7.727272727,5.181818182,6.636363636,3.909090909,60.54545455,18,6.272727273,4.363636364,64.27272727,19.72727273,0.363636364,1.454545455,1.363636364,0.181818182,0.272727273,73.45454545,26.27272727,0.335454545,0.181818182,0.090909091,0.090909091,0.090909091,83.36363636,34.45454545,2,5,24,576.1818182,0,0,1,1,4,0,0,6,187.96,190.5,205,27,42,0,1,0,0,0,0,0,1,0
Red,FALSE,3,3,0,0,11.33333333,9,9.666666667,7.666666667,105.3333333,40.66666667,8,6.333333333,101.3333333,38.33333333,0.333333333,10.33333333,7.333333333,0,0,123,54.66666667,0.433333333,0.666666667,1.666666667,0.666666667,0.276666667,169.6666667,96.33333333,0,3,7,573.3333333,0,0,0,0,0,0,0,0,180.34,177.8,155,1,0,0,5,3,2,1,13,6,1,1,11,5,0,0,0,0,0,16,8,0.5,4,2,0,0,30,20,0,1,3,900,0,0,0,0,0,0,0,0,175.26,177.8,155,32,24,0,1,0,0,0,0,1,0,0
Red,FALSE,3,1,0,0,8.25,5.25,1.833333333,0.916666667,64.5,27.08333333,3,2.166666667,58.75,23,0.083333333,2.333333333,1.916666667,1.666666667,0,69.33333333,30.16666667,0.4625,0.416666667,2.666666667,1.083333333,0.3625,76.66666667,36.91666667,4,4,31,730.9166667,1,0,2,2,1,3,0,8,182.88,182.88,170,1,0,0,12.33333333,8.333333333,8.777777778,6.555555556,54,22.33333333,4.444444444,2.666666667,48.55555556,18.44444444,0.111111111,6.333333333,4.777777778,0.777777778,0,67.22222222,31.55555556,0.465555556,0.666666667,2,0.888888889,0.4,78.88888889,41.77777778,4,3,22,656.6666667,1,0,0,2,0,3,1,6,180.34,182.88,170,36,28,0,1,0,0,0,0,1,0,0
